lane_key,lane,pickup_city,pickup_state,pickup_state_name,delivery_city,delivery_state,delivery_state_name
16b40a89013496fc5429b847a5179566,"Baldwinsville,NY -> Lewiston,ME",Baldwinsville,NY,New York,Lewiston,ME,Maine
e83f95c4e720805ee3722c4f78ca3780,"St. Louis,MO -> Clifton,CO",St. Louis,MO,Missouri,Clifton,CO,Colorado
5517484ff7945c121ab88a8f43d60beb,"La Porte,TX -> Texarkana,TX",La Porte,TX,Texas,Texarkana,TX,Texas
c36906ddcbce7fa37916b4768c1cf8d2,"Bristol,PA -> Kane,PA",Bristol,PA,Pennsylvania,Kane,PA,Pennsylvania
03a838be4f0081c0df2b204154e7d0ae,"Franklin,IN -> Modesto,CA",Franklin,IN,Indiana,Modesto,CA,California
a2dbca8ade6cd880bd7282655801c8a1,"Baldwinsville,NY -> Boise,ID",Baldwinsville,NY,New York,Boise,ID,Idaho
db6fc9c413bf61a98787d422de284487,"Latrobe,PA -> Wanaque,NJ",Latrobe,PA,Pennsylvania,Wanaque,NJ,New Jersey
f8f8c31a4e34b4b4482004e611eb8e01,"Aurora,CO -> Lincoln,NE",Aurora,CO,Colorado,Lincoln,NE,Nebraska
b83badf0bc849edb957be0f34b6b7393,"Lakewood Township,NJ -> Gastonia,NC",Lakewood Township,NJ,New Jersey,Gastonia,NC,North Carolina
e6b1e2b7607b38314181af3106c1b3af,"Olean,NY -> Mundelein,IL",Olean,NY,New York,Mundelein,IL,Illinois
c853499ceb94a49d0abd67fc3c8655ac,"Plant City,FL -> Haverstraw,NY",Plant City,FL,Florida,Haverstraw,NY,New York
d502d2772c50388da1297abc969abdab,"Santa Ana,CA -> Leola,PA",Santa Ana,CA,California,Leola,PA,Pennsylvania
c26332539c48a0b19f0b6220d210c13f,"Cartersville,GA -> Portland,OR",Cartersville,GA,Georgia,Portland,OR,Oregon
5e3b770079de5fede857997bbd1209ba,"Houston,TX -> Casper,WY",Houston,TX,Texas,Casper,WY,Wyoming
34ca2c736cce41b84e4c5e73749e7c43,"Houston,TX -> Lebanon,MO",Houston,TX,Texas,Lebanon,MO,Missouri
d10604608a22e1f667075411b883eaba,"Carson,CA -> Las Vegas,NV",Carson,CA,California,Las Vegas,NV,Nevada
e62621a9f1f57ffe70046c20a061e520,"Philadelphia,PA -> Stowe,PA",Philadelphia,PA,Pennsylvania,Stowe,PA,Pennsylvania
4663f60401625abf2e2ffa16448567ac,"St. Louis,MO -> Montclair,CA",St. Louis,MO,Missouri,Montclair,CA,California
003d0b50e4a7c31a3b1b37afa8927b66,"Carlisle,PA -> Jacksonville,FL",Carlisle,PA,Pennsylvania,Jacksonville,FL,Florida
0d130384292ca526f2fad3daaa537ad6,"Bolingbrook,IL -> Commerce,GA",Bolingbrook,IL,Illinois,Commerce,GA,Georgia
58d14f994bcaaf992515bcfe1c46a698,"Columbus,OH -> Roanoke,VA",Columbus,OH,Ohio,Roanoke,VA,Virginia
a49c51606e9252a13e22cfbc865a12e3,"Aurora,CO -> Boise,ID",Aurora,CO,Colorado,Boise,ID,Idaho
387cf6fb11a5d316e84debc60e8c6e33,"Lebanon,IN -> Commerce,GA",Lebanon,IN,Indiana,Commerce,GA,Georgia
8d000b2f97decbfd8c82301566546377,"Wood Dale,IL -> Statesville,NC",Wood Dale,IL,Illinois,Statesville,NC,North Carolina
6ae0a039b039b28117537d2a66b9ba6d,"Jacksonville,FL -> Wilmington,NC",Jacksonville,FL,Florida,Wilmington,NC,North Carolina
f65bb1fff6f9d84a782bfba0b2175bdf,"Fort Collins,CO -> Sedalia,MO",Fort Collins,CO,Colorado,Sedalia,MO,Missouri
c45c2376a637ed7095cb79328fb70754,"Riverside,CA -> Pomona,CA",Riverside,CA,California,Pomona,CA,California
51f7d63ad1c1ac41b3dc1f2e6a179010,"Spring Valley,NY -> Bronx,NY",Spring Valley,NY,New York,Bronx,NY,New York
469c9092cc791bb3309e7047d93f3006,"Wylie,TX -> Laredo,TX",Wylie,TX,Texas,Laredo,TX,Texas
20b0fe041020eb5f247d87746bece93b,"Wanaque,NJ -> Castile,NY",Wanaque,NJ,New Jersey,Castile,NY,New York
dc78a869b38dd88262f0cb4304a7b859,"Wanaque,NJ -> Syracuse,NY",Wanaque,NJ,New Jersey,Syracuse,NY,New York
4c245eafe197205c04bf2fe4f0971e1c,"Lockport,IL -> Mount Holly,NC",Lockport,IL,Illinois,Mount Holly,NC,North Carolina
fc9afa9cc4daec8f3efc75d3b5d0fea2,"Williamsburg,VA -> Midway,FL",Williamsburg,VA,Virginia,Midway,FL,Florida
d49573e612e75b4d22c71f3d0ebe959d,"Carlisle,PA -> Annapolis,MD",Carlisle,PA,Pennsylvania,Annapolis,MD,Maryland
162c00b7f6c0909b938c91ab3b1507f5,"Stacy,MN -> Reading,PA",Stacy,MN,Minnesota,Reading,PA,Pennsylvania
a65f0dfd220a0d6435ff473c48c140bf,"St. Louis,MO -> Pasadena,TX",St. Louis,MO,Missouri,Pasadena,TX,Texas
3ef56eb94717bc4b0e796f2e912f081f,"Plainfield,IN -> Swedesboro,NJ",Plainfield,IN,Indiana,Swedesboro,NJ,New Jersey
3bd8e87f31b1c624bddb8f18c3e0f216,"Colonial Heights,VA -> Deerfield Beach,FL",Colonial Heights,VA,Virginia,Deerfield Beach,FL,Florida
1b94e0a1672a9425645d0bb42c9072a4,"Stockton,CA -> Palm City,FL",Stockton,CA,California,Palm City,FL,Florida
58b8289a4715809db3320b2d11df02b8,"Fort Collins,CO -> Kalispell,MT",Fort Collins,CO,Colorado,Kalispell,MT,Montana
d7aedf2f5bf28d6f9ffd8c4da53ab4f2,"Commerce,CA -> Clackamas,OR",Commerce,CA,California,Clackamas,OR,Oregon
803684bbffea3db33d6bdf09651b7204,"Laceys Spring,AL -> Tullytown,PA",Laceys Spring,AL,Alabama,Tullytown,PA,Pennsylvania
5289e275cb18d50ba7ac1cd36f142deb,"St. Louis,MO -> Muscle Shoals,AL",St. Louis,MO,Missouri,Muscle Shoals,AL,Alabama
