carrier_key,carrier_name,vip_carrier
83a404742053cf6293a554731bb69de0,Carrier 769878,false
ed0e03c8ef094e8270793817adad6533,Carrier 678129,false
cc3a67cfeb3138e9d7f423d555f869bc,Carrier 188447,false
2b4a37b9cc467e0a211d52b0b0e8b651,Carrier 1084492,false
576a1b6c89bbf3b5dfe2f72e8ebe2928,Carrier 1215451,false
8deec4af4749170a305a04a105cf443d,Carrier 1323310,false
5d2853488af166a6a92f63348e063445,Carrier 1065224,false
4c001afb2cbd7a3f9f0d50948874d138,Carrier 1277662,false
270593decd39fddb2fd00baa2579aeec,Carrier 1101418,false
515df51e1f9c08a3342bc4e07c17e729,Carrier 1468637,false
a2cb4c25e02c4acc9d94147f8f0494aa,Carrier 16525,false
4f41e258d7eabb9abebdceaf7df85ee4,Carrier 1475092,false
3604e16672668c1651fdac6f1dbf14d7,Carrier 1624331,false
53baef0951d4f8895052d48b49935cd1,Carrier 1636290,false
e2c11813b148c103da6e01b3f242370b,Carrier 1693390,false
2e0ec6030e8d4c612ccac08955b631d0,Carrier 1058714,false
cd9a105cdf4ff2f07a2e79252632080f,Carrier 87075,false
b01ffe452d6df97e148683c5aa2a1dc8,Carrier 326118,false
81e25c4d7a64a28824ccceec3946726e,Carrier 1477927,false
c5bd5177e70233d349f00fde0992766a,Carrier 14950,false
adcb65eb4ae42360c7dcd79c891391cc,Carrier 1020435,false
b1a464bec8d0056cbe1e6dd5cdf121bd,Carrier 765902,false
983b2875f41b9dd23e2383c11865ce87,Carrier 472163,false
f1d82690f4b187fc2a64095ee315d899,Carrier 1297336,false
339cd17ae3784b535bfa85b859f3f2f2,Carrier 38031,false
60a720d130d25b47335ed08175513df4,Carrier 872938,false
d8bbcd7fcd7ab1c26aeb38b4dc3fc1ed,Carrier 1069795,false
ac58a705e8e9f50e2c1e3c2eac620362,Carrier 1695737,false
f3408d2c3fe05784c0256ee5dc8ab018,Carrier 1237602,false
ce9b36ff40990f1e33459d4b78a1bc47,Carrier 1084503,false
3d3a03086c6ffde801000c6e89d96ff8,Carrier 1695272,false
8f318d1de9dadd6f05d2018d9e769eda,Carrier 1693814,false
d262113312f026152d56288d96b65773,Carrier 1200282,false
d98d9e147155feecf64c226bb9ec24f3,Carrier 1486119,false
8ad4408072853729232970f8bc8f79bd,Carrier 21656,false
f352621b564fce02cef3772d5ddb82dd,Carrier 97866,false
2e9c95b39d5e33dd81058e7e78922b60,Carrier 369899,false
98bad3204af99efe1384b594b44fb8a6,Carrier 80546,false
